4U 1700-377_rt_sum,A,Epeak,GRO J1655-40_rt_sum,GX 339-4_rt_sum,Sco X-1_rt_sum,TS,bkg_nllh,dur,gamma,hp_ind,ndets,nllh,phi,solid_angle,theta,time,timeID
0.0,0.10060220662419005,11.220184543019636,0.0,0.0,0.0,2.8926344726578237,38.102191816699275,0.256,1.8799362498814545,146,0,33.91852472049507,112.5,0.0,156.44353569089876,646018393.1626999,99840256
0.0,0.015004543780184131,40.20604377838505,0.0,0.0,0.0,3.0138727595882506,40.31858016938939,0.256,1.988317321654494,146,0,35.77686566389534,112.5,0.0,156.44353569089876,646018393.2267,100480256
0.0,0.02650756523404823,357.36328858189927,0.0,0.0,0.0,5.272714640429938,50.90802250277568,0.256,-0.1,146,0,37.007262663073575,112.5,0.0,156.44353569089876,646018393.4187,102400256
0.0,0.025948653981743137,305.92412463338235,0.0,0.0,0.0,4.009475121444593,43.50178657772357,0.256,-0.1,146,0,35.463841202982,112.5,0.0,156.44353569089876,646018393.4827,103040256
0.0,2014.4420917906652,16.304315496835244,0.0,0.0,0.0,3.825360166085386,41.604356292160766,0.256,-0.1,146,0,34.28766609202436,112.5,0.0,156.44353569089876,646018394.2507,110720256
0.0,0.02560802860365927,90.2814838476958,0.0,0.0,0.0,10.937091637039895,96.43330901910458,0.512,2.073560351230365,146,0,36.623322280600576,112.5,0.0,156.44353569089876,646018383.0507,-1280512
0.0,0.029358541128271815,95.16623527239618,0.0,0.0,0.0,10.732378672777942,94.19332947871877,0.512,2.065583633018362,146,0,36.60135349076935,112.5,0.0,156.44353569089876,646018382.9226999,-2560512
0.0,0.028361604540578282,92.24198765408909,0.0,0.0,0.0,12.261860175409218,113.29775068382122,0.512,2.076401730061582,146,0,38.12114320317794,112.5,0.0,156.44353569089876,646018383.1787,512
0.0,0.03178990939687009,61.76016142904607,0.0,0.0,0.0,11.721293430722774,108.58035758864433,0.512,2.0329092865065235,146,0,39.88599774409192,112.5,0.0,156.44353569089876,646018383.3067,1280512
0.0,0.027625963636341906,938.0708446156325,0.0,0.0,0.0,11.686125208748251,107.73822030292698,0.512,1.0567134634923594,146,0,39.455459105656296,112.5,0.0,156.44353569089876,646018383.9467,7680512
0.0,0.015052122562096338,91.34249133136153,0.0,0.0,0.0,6.336475549683221,59.30354211007063,0.512,2.0739155702417666,146,0,39.22808091420399,112.5,0.0,156.44353569089876,646018384.2027,10240512
0.0,0.04365568287604133,217.75025534934147,0.0,0.0,0.0,5.142187393918873,49.291905342412036,0.512,-0.1,146,0,36.07085974532295,112.5,0.0,156.44353569089876,646018388.6826999,55040512
0.0,0.017437272255017854,361.7338104909792,0.0,0.0,0.0,5.003354347621473,49.18905305424021,0.512,-0.1,146,0,36.672275690308865,112.5,0.0,156.44353569089876,646018388.5547,53760512
0.0,0.03788581995740941,245.83864981691474,0.0,0.0,0.0,5.592181741940128,55.3769817446603,0.512,-0.1,146,0,39.740733427216036,112.5,0.0,156.44353569089876,646018393.1626999,99840512
0.0,0.04067846784436173,222.66378278849933,0.0,0.0,0.0,4.9744965354703785,51.783684270724464,0.512,-0.1,146,0,39.410876380021065,112.5,0.0,156.44353569089876,646018393.2907,101120512
0.0,0.0185501679640848,1000.0,0.0,0.0,0.0,5.405847253620296,53.26576406775962,0.512,1.7540051925509776,146,0,38.65417180302257,112.5,0.0,156.44353569089876,646018393.4187,102400512
0.0,0.25330401545386316,12.857888782863501,0.0,0.0,0.0,4.8459621299072815,49.075450051962484,0.512,1.7668325527431163,146,0,37.333775569714724,112.5,0.0,156.44353569089876,646018393.5467,103680512
0.0,1.0270422862920672,11.220184543019636,0.0,0.0,0.0,3.6324550374368236,42.17889886727651,0.512,1.6111799910881326,146,0,35.58153406777643,112.5,0.0,156.44353569089876,646018394.6987,115200512
0.0,1.0002142686489341,11.220184543019636,0.0,0.0,0.0,3.6079759033184287,42.3691137211885,0.512,1.6147778333757405,146,0,35.86036866172528,112.5,0.0,156.44353569089876,646018394.9547,117760512
0.0,16.256745568591406,11.220184543019636,0.0,0.0,0.0,2.915200163806722,42.3412143581552,0.512,1.2072400230981215,146,0,38.09201836062583,112.5,0.0,156.44353569089876,646018395.0827,119040512
0.0,0.03302344819484094,90.636354648581,0.0,0.0,0.0,14.788526118887907,151.8509207688161,1.024,2.04794143795099,146,0,42.500668384301214,112.5,0.0,156.44353569089876,646018382.9226999,-2561024
0.0,0.025322502453580812,96.70780733396462,0.0,0.0,0.0,13.502956100568657,133.82435498093935,1.024,2.0704917184086993,146,0,42.659443253997196,112.5,0.0,156.44353569089876,646018382.6667,-5121024
0.0,0.03471726731478424,63.69777415953574,0.0,0.0,0.0,15.399226473402274,161.09666402367023,1.024,2.024078461758831,146,0,42.528576034103516,112.5,0.0,156.44353569089876,646018383.4347,2561024
0.0,0.033800591610572264,81.66758709859543,0.0,0.0,0.0,15.730612280561905,165.30919401919618,1.024,2.044667828248125,146,0,41.58311265851366,112.5,0.0,156.44353569089876,646018383.1787,1024
0.0,0.026893201427438125,76.3879646431861,0.0,0.0,0.0,11.577413788643728,109.66035542811916,1.024,2.032290867937335,146,0,42.6421004113802,112.5,0.0,156.44353569089876,646018383.6906999,5121024
0.0,0.022223970842289695,244.73666473021913,0.0,0.0,0.0,4.660940982206913,50.753868363024424,1.024,-0.1,146,0,39.89168294321645,112.5,0.0,156.44353569089876,646018388.2987,51201024
0.0,0.01464543958764894,281.85079415858866,0.0,0.0,0.0,3.92010220780679,47.75028850249012,1.024,-0.1,146,0,40.06668784266429,112.5,0.0,156.44353569089876,646018388.5547,53761024
0.0,0.019485057502783308,236.50968718601874,0.0,0.0,0.0,3.81446965462674,47.08126604813128,1.024,-0.1,146,0,39.80617667509716,112.5,0.0,156.44353569089876,646018388.0426999,48641024
0.0,0.02830730211952658,59.57203310857241,0.0,0.0,0.0,6.0587253356938335,58.68345177642126,1.024,1.8258660706863232,146,0,40.32937542973208,112.5,0.0,156.44353569089876,646018393.1626999,99841024
0.0,0.10142081446798112,127.81793740487463,0.0,0.0,0.0,5.082566462429693,54.89651397762984,1.024,-0.1,146,0,41.9802730551223,112.5,0.0,156.44353569089876,646018392.9067,97281024
0.0,0.11975083445657503,112.31779957539294,0.0,0.0,0.0,4.244943869963865,49.98883360804394,1.024,-0.1,146,0,40.979059378472044,112.5,0.0,156.44353569089876,646018392.6507,94721024
0.0,0.03525199836981265,46.35551349111331,0.0,0.0,0.0,5.5597542863290705,57.267013719010464,1.024,1.7847594602569088,146,0,41.81157985683323,112.5,0.0,156.44353569089876,646018393.4187,102401024
0.0,6.1047909929351025,11.220184543019636,0.0,0.0,0.0,3.7858650125580753,47.13503976503155,1.024,1.3381471161677894,146,0,39.96865281837587,112.5,0.0,156.44353569089876,646018394.6987,115201024
0.0,0.02690195249351989,88.80211513235835,0.0,0.0,0.0,17.75422304617987,205.62839728394414,2.048,2.052088977613408,146,0,48.022179297191904,112.5,0.0,156.44353569089876,646018382.6667,-5122048
0.0,0.018331538027571807,89.59697746913292,0.0,0.0,0.0,13.857027777513824,143.21810701231917,2.048,2.0656196370374964,146,0,47.20949759892432,112.5,0.0,156.44353569089876,646018383.1787,2048
0.0,0.11519400973393062,11.220184543019636,0.0,0.0,0.0,6.25295593031126,64.54222977393701,2.048,1.8413864353767249,146,0,44.99250084072963,112.5,0.0,156.44353569089876,646018393.4187,102402048
0.0,0.11547000653771075,20.849433280081982,0.0,0.0,0.0,5.501626070845192,60.727662861129495,2.048,1.6651170971448717,146,0,45.593718149427744,112.5,0.0,156.44353569089876,646018392.9067,97282048
0.0,0.08256189738532677,11.220184543019636,0.0,0.0,0.0,5.365154232003442,58.654921091585145,2.048,1.8597907812975523,146,0,44.262481124992924,112.5,0.0,156.44353569089876,646018392.3946999,92162048
0.0,0.029136624157296395,180.32846115800393,0.0,0.0,0.0,4.679532016961726,54.47965884269848,2.048,-0.1,146,0,43.530648893813535,112.5,0.0,156.44353569089876,646018403.1467,199682048
