dur,imx0,imx1,imy0,imy1,squareID,time,timeID,proc_group
2.048,-0.28,-0.24,-0.6,-0.56,2160,646018382.6667,-5122048,19
2.048,-0.3599999999999999,-0.32000000000000006,-0.56,-0.52,2061,646018382.6667,-5122048,88
2.048,-0.32000000000000006,-0.28,-0.56,-0.52,2111,646018382.6667,-5122048,6
2.048,-0.28,-0.24,-0.56,-0.52,2161,646018382.6667,-5122048,20
2.048,-0.32000000000000006,-0.28,-0.52,-0.48,2112,646018382.6667,-5122048,7
2.048,-0.28,-0.24,-0.52,-0.48,2162,646018382.6667,-5122048,21
2.048,-0.28,-0.24,-0.48,-0.43999999999999995,2163,646018382.6667,-5122048,22
2.048,-0.28,-0.24,-0.43999999999999995,-0.4,2164,646018382.6667,-5122048,23
2.048,-0.28,-0.24,-0.4,-0.36,2165,646018382.6667,-5122048,24
2.048,-0.28,-0.24,-0.36,-0.31999999999999995,2166,646018382.6667,-5122048,25
2.048,-0.24,-0.19999999999999996,-0.8,-0.76,2205,646018382.6667,-5122048,28
2.048,-0.24,-0.19999999999999996,-0.76,-0.72,2206,646018382.6667,-5122048,29
2.048,-0.24,-0.19999999999999996,-0.72,-0.6799999999999999,2207,646018382.6667,-5122048,30
2.048,-0.24,-0.19999999999999996,-0.6799999999999999,-0.64,2208,646018382.6667,-5122048,31
2.048,-0.24,-0.19999999999999996,-0.64,-0.6,2209,646018382.6667,-5122048,32
2.048,-0.24,-0.19999999999999996,-0.6,-0.56,2210,646018382.6667,-5122048,33
2.048,-0.24,-0.19999999999999996,-0.56,-0.52,2211,646018382.6667,-5122048,34
2.048,-0.24,-0.19999999999999996,-0.52,-0.48,2212,646018382.6667,-5122048,35
2.048,-0.24,-0.19999999999999996,-0.48,-0.43999999999999995,2213,646018382.6667,-5122048,36
2.048,-0.24,-0.19999999999999996,-0.43999999999999995,-0.4,2214,646018382.6667,-5122048,37
2.048,-0.24,-0.19999999999999996,-0.4,-0.36,2215,646018382.6667,-5122048,38
2.048,-0.19999999999999996,-0.15999999999999992,-0.76,-0.72,2256,646018382.6667,-5122048,43
2.048,-0.19999999999999996,-0.15999999999999992,-0.72,-0.6799999999999999,2257,646018382.6667,-5122048,44
2.048,-0.19999999999999996,-0.15999999999999992,-0.6799999999999999,-0.64,2258,646018382.6667,-5122048,45
2.048,-0.19999999999999996,-0.15999999999999992,-0.64,-0.6,2259,646018382.6667,-5122048,46
2.048,-0.19999999999999996,-0.15999999999999992,-0.6,-0.56,2260,646018382.6667,-5122048,47
2.048,-0.19999999999999996,-0.15999999999999992,-0.56,-0.52,2261,646018382.6667,-5122048,48
2.048,-0.19999999999999996,-0.15999999999999992,-0.52,-0.48,2262,646018382.6667,-5122048,49
2.048,-0.19999999999999996,-0.15999999999999992,-0.48,-0.43999999999999995,2263,646018382.6667,-5122048,50
2.048,-0.19999999999999996,-0.15999999999999992,-0.43999999999999995,-0.4,2264,646018382.6667,-5122048,51
2.048,-0.19999999999999996,-0.15999999999999992,-0.4,-0.36,2265,646018382.6667,-5122048,52
2.048,-0.15999999999999992,-0.11999999999999988,-0.76,-0.72,2306,646018382.6667,-5122048,57
2.048,-0.15999999999999992,-0.11999999999999988,-0.72,-0.6799999999999999,2307,646018382.6667,-5122048,58
2.048,-0.15999999999999992,-0.11999999999999988,-0.6799999999999999,-0.64,2308,646018382.6667,-5122048,59
2.048,-0.15999999999999992,-0.11999999999999988,-0.64,-0.6,2309,646018382.6667,-5122048,60
2.048,-0.15999999999999992,-0.11999999999999988,-0.6,-0.56,2310,646018382.6667,-5122048,61
2.048,-0.15999999999999992,-0.11999999999999988,-0.56,-0.52,2311,646018382.6667,-5122048,62
2.048,-0.15999999999999992,-0.11999999999999988,-0.52,-0.48,2312,646018382.6667,-5122048,63
2.048,-0.15999999999999992,-0.11999999999999988,-0.48,-0.43999999999999995,2313,646018382.6667,-5122048,64
2.048,-0.15999999999999992,-0.11999999999999988,-0.43999999999999995,-0.4,2314,646018382.6667,-5122048,65
2.048,-0.15999999999999992,-0.11999999999999988,-0.4,-0.36,2315,646018382.6667,-5122048,66
2.048,-0.11999999999999988,-0.08000000000000007,-0.76,-0.72,2356,646018382.6667,-5122048,72
2.048,-0.11999999999999988,-0.08000000000000007,-0.72,-0.6799999999999999,2357,646018382.6667,-5122048,73
2.048,-0.11999999999999988,-0.08000000000000007,-0.6799999999999999,-0.64,2358,646018382.6667,-5122048,74
2.048,-0.11999999999999988,-0.08000000000000007,-0.64,-0.6,2359,646018382.6667,-5122048,75
2.048,-0.11999999999999988,-0.08000000000000007,-0.6,-0.56,2360,646018382.6667,-5122048,76
2.048,-0.11999999999999988,-0.08000000000000007,-0.56,-0.52,2361,646018382.6667,-5122048,77
2.048,-0.11999999999999988,-0.08000000000000007,-0.52,-0.48,2362,646018382.6667,-5122048,78
2.048,-0.11999999999999988,-0.08000000000000007,-0.48,-0.43999999999999995,2363,646018382.6667,-5122048,79
2.048,-0.11999999999999988,-0.08000000000000007,-0.43999999999999995,-0.4,2364,646018382.6667,-5122048,80
2.048,-0.11999999999999988,-0.08000000000000007,-0.4,-0.36,2365,646018382.6667,-5122048,81
2.048,-0.08000000000000007,-0.040000000000000036,-0.76,-0.72,2406,646018382.6667,-5122048,91
2.048,-0.08000000000000007,-0.040000000000000036,-0.72,-0.6799999999999999,2407,646018382.6667,-5122048,92
2.048,-0.08000000000000007,-0.040000000000000036,-0.6799999999999999,-0.64,2408,646018382.6667,-5122048,93
2.048,-0.08000000000000007,-0.040000000000000036,-0.64,-0.6,2409,646018382.6667,-5122048,94
2.048,-0.08000000000000007,-0.040000000000000036,-0.6,-0.56,2410,646018382.6667,-5122048,95
