4U 1700-377_rt_sum,A,Epeak,GRO J1655-40_rt_sum,GX 339-4_rt_sum,Sco X-1_rt_sum,TS,bkg_nllh,dur,gamma,imx,imy,ndets,nllh,solid_angle,time,timeID
3087.488037109375,0.0027917134730228613,724.782975419556,2694.20556640625,1392.7109375,4799.96484375,5.194587053924957,83.53077467212285,0.512,-0.1,-0.88,0.08,10638,70.03890734172046,10745.467357409563,646018393.1626999,99840512
3087.488037109375,0.0024560106467558093,706.975262605082,2694.20556640625,1392.7109375,4799.96484375,4.481026762394593,81.44449571401975,0.512,-0.1,-0.88,0.08,10638,71.40469529137147,10745.467357409563,646018393.2907,101120512
3087.488037109375,0.0022778700240646817,941.0725275717137,2694.20556640625,1392.7109375,4799.96484375,5.0929266489373495,83.37654615732589,0.512,-0.1,-0.88,0.08,10638,70.40759523159778,10745.467357409563,646018393.4187,102400512
3087.488037109375,0.0024569192545589816,660.1117401109725,2694.20556640625,1392.7109375,4799.96484375,4.204219701248049,78.76212254127572,0.512,0.1804923338010612,-0.88,0.08,10638,69.9243908930946,10745.467357409563,646018393.5467,103680512
3087.488037109375,0.001639493873455247,1000.0,2694.20556640625,1392.7109375,4799.96484375,3.6902771823092713,75.76163954292356,0.512,1.0631079038027678,-0.88,0.08,10638,68.95256670178733,10745.467357409563,646018394.6987,115200512
3087.488037109375,0.013207036730026335,99.0666925443066,2694.20556640625,1392.7109375,4799.96484375,3.7333591729786995,72.82452730452566,0.512,-0.1,-0.88,0.08,10638,65.85554194729356,10745.467357409563,646018394.9547,117760512
3087.488037109375,0.0010477240337739542,1000.0,2694.20556640625,1392.7109375,4799.96484375,2.733091382961427,72.19063173700339,0.512,1.3277327976696112,-0.88,0.08,10638,68.45573748319438,10745.467357409563,646018395.0827,119040512
3087.488037109375,0.004419890284893377,1000.0,2694.20556640625,1392.7109375,4799.96484375,14.292433275712902,187.56376350139163,1.024,-0.1,-0.88,0.08,10638,85.42693903103891,10745.467357409563,646018382.9226999,-2561024
3087.488037109375,0.0040859082739077,1000.0,2694.20556640625,1392.7109375,4799.96484375,13.250697975106746,169.70630673231426,1.024,-0.1,-0.88,0.08,10638,81.91580831856524,10745.467357409563,646018382.6667,-5121024
3087.488037109375,0.004633272889412903,1000.0,2694.20556640625,1392.7109375,4799.96484375,14.94968470352299,203.01894428648734,1.024,-0.1,-0.88,0.08,10638,91.27240791911271,10745.467357409563,646018383.4347,2561024
